competition_name
1992 King Fahd Cup
2022 ASEAN Championship
AFC Asian Cup
AFC Challenge Cup (- 2014)
AFC Challenge Cup Qualifikation (- 2014)
AFC Solidarity Cup
AFC U17 Asian Cup
AFC U17 Asian Cup Qualification
AFC U23 Asian Cup
AFC U23 Asian Cup Qualification
ASEAN Championship
ASEAN Championship Qualification
ASEAN U17 Boys Championship
ASEAN U19 Boys Championship
Africa Cup of Nations
Africa Cup of Nations Qualification
Africa U-17 Cup of Nations
Africa U-20 Cup of Nations
African Nations Championship
Amir Cup
Arabian Gulf Cup
Armenian Independence Cup
Armenian Supercup
Asian Cup qualification
Bangladesh Super Cup
Belarusian Cup
Belarusian Super Cup
Bulgarian Cup
Bulgarian Super Cup
CAF Confederation Cup
CAF-Supercup
CAFA Nations Cup
CAFA U17 Championship
CONCACAF Caribbean Cup
CONCACAF Central American Cup
CONCACAF Champions Cup
CONCACAF Championship (- 1989)
CONCACAF Cup
CONCACAF U-20 Championship
CONCACAF U-20 Championship-Qualifying
CONCACAF U17-Championship
CONMEBOL-UEFA Cup of Champions
Cambodian Super Cup
Campeonato Centroamericano y del Caribe
Campeonato Sudamericano 1916
Campeonato Sudamericano 1917
Campeonato Sudamericano 1919
Campeonato Sudamericano 1920
Campeonato Sudamericano 1921
Campeonato Sudamericano 1922
Campeonato Sudamericano 1923
Campeonato Sudamericano 1924
Campeonato Sudamericano 1925
Campeonato Sudamericano 1926
Campeonato Sudamericano 1927
Campeonato Sudamericano 1929
Campeonato Sudamericano 1935
Campeonato Sudamericano 1937
Campeonato Sudamericano 1939
Campeonato Sudamericano 1941
Campeonato Sudamericano 1942
Campeonato Sudamericano 1945
Campeonato Sudamericano 1946
Campeonato Sudamericano 1947
Campeonato Sudamericano 1949
Campeonato Sudamericano 1953
Campeonato Sudamericano 1955
Campeonato Sudamericano 1956
Campeonato Sudamericano 1957
Campeonato Sudamericano 1959
Campeonato Sudamericano 1959 Ecuador
Campeonato Sudamericano 1963
Campeonato Sudamericano 1967
Canadian Championship
Caribbean Cup (- 2017)
Caribbean Cup Qualifikation
Championship
Chatham Cup
Chinese FA Cup
Chinese Super Cup
Confederations Cup
Croky Cup
Cypriot Super Cup
DFL-Supercup
David Kipiani Cup
Durand Cup
East Asian Football Championship
Emperor's Cup
FA Cup
FAI Cup
FIFA Arab Cup
FIFA Arab Cup Qualification
Federation Cup
Gold Cup
Gold Cup Play-Off
Gold Cup Qualification
Hazfi Cup
Hong Kong FA Cup
Intercontinental Cup
International Friendlies
Iran Super Cup
Iraq FA Cup
Italy Cup
Jubilee Cup
Kasachischer Supercup
Kazakhstan Cup
King's Cup
Korean Super Cup
Kyrgyzstan Cup
Lithuanian Cup
Lithuanian Supercup
MOL Cup
Maltese Super Cup
Moldovan Cup
Montenegro Cup
NM-Cup
Nedbank Cup
OFC Nations Cup
Panamerican Championship (- 1960)
Pepe Reyes Cup
President's Cup
Prime Minister Cup
Qualifikation Campeonato Sudamericano
Rock Cup
Romanian Cup
Romanian Supercup
Russian Cup
Russian Super Cup
SAFF U20 Championship
SFA Cup
STS Polish Cup
Saudi Super Cup
Singapore Cup
Slovnaft Cup
South Asian Football Federation Championship
Suomen Cup
Super Cup
Svenska Cupen
Swiss Cup
Thai FA Cup
Tunisian Cup
U-17 South American Championship
U16-OFC-Championship
U20 Copa Libertadores
UAE President's Cup
UAE Super Cup
UEFA Super Cup
UNCAF Nations Cup
UNCAF Nations Cup-Qualifikation
US Open Cup
Ukrainian Cup
Uzbekistan Cup
Uzbekistan Supercup
Vietnam Cup
Volkswagen Supercup
WAFF Championship
WAFF U20 Championship
Welsh Cup
World Cup
World Cup Qualification Africa
World Cup Qualification Playoffs
World Cup qualification Asia
World Cup qualification CONCACAF
World Cup qualification Europe
World Cup qualification Oceania
World Cup qualification South America
ÖFB-Cup
